3,193,3,0,0
3,265,1,1,0
3,648,2,1,0
3,265,3,0,0
3,288,1,1,0
3,648,3,1,0
3,648,1,0,0
3,301,3,1,0
3,121,3,1,0
3,337,2,1,0
3,157,1,1,1
3,229,1,NaN,1
3,648,2,1,1
3,288,1,1,1
3,157,3,1,1
3,229,1,1,1
3,157,3,1,2
3,193,1,1,2
3,121,2,NaN,2
3,121,2,1,2
3,193,3,0,2
3,157,2,1,2
3,193,1,NaN,2
3,337,1,0,2
3,265,1,1,2
3,121,1,1,2
3,121,1,NaN,2
3,288,1,1,2
3,229,3,0,2
3,648,1,0,2
3,265,1,1,2
3,229,3,1,2
3,193,1,1,3
3,288,1,1,3
3,121,2,1,3
3,229,1,1,3
3,193,1,1,3
3,229,1,NaN,3
3,337,1,1,4
3,301,1,1,4
3,157,1,NaN,4
3,265,1,0,4
3,337,1,NaN,4
3,648,1,1,4
3,301,1,1,4
3,157,1,1,4
3,121,1,1,4
3,648,1,1,5
3,229,1,1,5
3,288,1,1,5
3,288,1,1,5
3,337,1,0,5
3,337,1,NaN,5
3,288,1,NaN,5
3,288,3,1,5
3,229,2,0,5
3,193,3,0,5
3,288,1,NaN,5
3,301,1,1,5
3,648,3,1,5
3,301,3,0,5
3,301,2,1,5
3,229,3,0,5
3,301,1,1,5
3,301,3,NaN,5
3,265,3,1,5
3,337,3,1,6
3,121,1,NaN,6
3,648,1,0,6
3,265,1,1,6
3,157,1,1,6
3,193,1,1,6
3,229,3,0,6
3,157,2,1,6
3,337,1,1,6
3,337,1,1,6
3,265,3,1,7
3,301,1,1,7
3,265,1,NaN,7
3,337,1,1,7
3,193,1,NaN,7
3,157,1,1,7
3,121,1,NaN,7
3,301,1,1,7
3,288,1,NaN,7
3,157,1,1,8
3,121,1,NaN,8
3,265,2,1,8
3,193,3,1,8
3,648,3,1,8
